"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cpsf3l",0.0920313768887845,3.21768880981983,0.052,0,1
"4930526I15Rik",0.0920313768887845,4.05589763750073,0.052,0,1
"A830080D01Rik",0.0920313768887845,3.31947295579918,0.052,0,1
"Erbb2ip",0.0920313768887845,3.92967500318089,0.052,0,1
"Entpd4",0.0920313768887845,3.80508290817912,0.052,0,1
"Eef2kmt",0.0920620522367092,0.525805968360743,0.057,0.132,1
"D8Ertd738e",0.0920996891686851,0.889265804078693,0.565,0.642,1
"Afap1l2",0.0923239634257431,2.05414672075189,0.14,0.057,1
"Dnajc15",0.0925534109221157,0.521313791814324,0.104,0.208,1
"Ndnf",0.092606805305083,-1.28915041884623,0.026,0.075,1
"Prodh",0.092606805305083,-1.58402422449148,0.026,0.075,1
"Atic",0.0926554855560621,-0.902751860975725,0.036,0.094,1
"Ctdspl2",0.0926562171673597,-0.327997378795164,0.047,0.113,1
"Tcf7l1",0.0926562171673597,-0.221676772002664,0.047,0.113,1
"Rbm34",0.0926562171673597,-0.201663956653156,0.047,0.113,1
"Hmgn3",0.0927443578790536,1.31275800803988,0.477,0.547,1
"Bub3",0.092799428527848,0.527845751277514,0.228,0.415,1
"Map7d1",0.0928104330629053,1.21526084355141,0.135,0.264,1
"Klhl20",0.092934560466322,-1.22762535328414,0.016,0.057,1
"Scyl3",0.092934560466322,-1.17720702135359,0.016,0.057,1
"Pdk1",0.092934560466322,-0.37981224664499,0.016,0.057,1
"Kirrel",0.092934560466322,0.846472553260692,0.016,0.057,1
"Fcgr1",0.092934560466322,-1.15951271599037,0.016,0.057,1
"Trmt13",0.092934560466322,-0.208187888240527,0.016,0.057,1
"Slc6a1",0.092934560466322,-1.03001181306169,0.016,0.057,1
"Slc35e1",0.092934560466322,-1.1341951013655,0.016,0.057,1
"Xpot",0.092934560466322,-0.320300971909916,0.016,0.057,1
